Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 17:25:00,1.277531,1.277531,1.277531,1.277531,0.000000
2019-01-07 17:27:00,1.277563,1.277563,1.277563,1.277563,0.000000
2019-01-07 17:29:00,1.277449,1.277449,1.277449,1.277449,0.000000
2019-01-07 17:30:00,1.277335,1.277335,1.277335,1.277335,0.000000
2019-01-07 17:32:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 17:34:00,1.276944,1.276944,1.276927,1.276927,0.000000
2019-01-07 17:37:00,1.276748,1.276748,1.276748,1.276748,0.000000
2019-01-07 17:39:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 17:40:00,1.277384,1.277384,1.277384,1.277384,0.000000
2019-01-07 17:42:00,1.277547,1.277547,1.277547,1.277547,0.000000
2019-01-07 17:44:00,1.277449,1.277449,1.277270,1.277270,0.000000
2019-01-07 17:47:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 17:49:00,1.276829,1.276829,1.276829,1.276829,0.000000
2019-01-07 17:50:00,1.276944,1.276944,1.276944,1.276944,0.000000
2019-01-07 17:52:00,1.276878,1.276878,1.276878,1.276878,0.000000
2019-01-07 17:54:00,1.276862,1.276862,1.276846,1.276846,0.000000
2019-01-07 17:57:00,1.276666,1.276666,1.276666,1.276666,0.000000
2019-01-07 17:59:00,1.277270,1.277270,1.277270,1.277270,0.000000
2019-01-07 18:00:00,1.277482,1.277482,1.277482,1.277482,0.000000
2019-01-07 18:02:00,1.277776,1.277776,1.277776,1.277776,0.000000
2019-01-07 18:04:00,1.277776,1.277776,1.277776,1.277776,0.000000
2019-01-07 18:05:00,1.277678,1.277678,1.277678,1.277678,0.000000
2019-01-07 18:07:00,1.277580,1.277580,1.277580,1.277580,0.000000
2019-01-07 18:09:00,1.277629,1.277825,1.277629,1.277825,0.000000
2019-01-07 18:12:00,1.277694,1.277694,1.277694,1.277694,0.000000
2019-01-07 18:14:00,1.277596,1.277596,1.277596,1.277596,0.000000
2019-01-07 18:15:00,1.277482,1.277482,1.277482,1.277482,0.000000
2019-01-07 18:16:00,1.277482,1.277482,1.277482,1.277482,0.000000
2019-01-07 18:18:00,1.277465,1.277465,1.277465,1.277465,0.000000
2019-01-07 18:20:00,1.277433,1.277433,1.277433,1.277433,0.000000
2019-01-07 18:22:00,1.277580,1.277580,1.277580,1.277580,0.000000
2019-01-07 18:24:00,1.277563,1.277580,1.277563,1.277580,0.000000
2019-01-07 18:27:00,1.277449,1.277449,1.277449,1.277449,0.000000
2019-01-07 18:29:00,1.277678,1.277678,1.277678,1.277678,0.000000
2019-01-07 18:30:00,1.277710,1.277710,1.277710,1.277710,0.000000
2019-01-07 18:32:00,1.277678,1.277678,1.277678,1.277678,0.000000
2019-01-07 18:34:00,1.277661,1.277661,1.277580,1.277580,0.000000
2019-01-07 18:37:00,1.277465,1.277465,1.277465,1.277465,0.000000
2019-01-07 18:39:00,1.277286,1.277286,1.277270,1.277270,0.000000
2019-01-07 18:42:00,1.277351,1.277351,1.277351,1.277351,0.000000
2019-01-07 18:44:00,1.277205,1.277205,1.277205,1.277205,0.000000
